id,code,name,flag
390,smi,Sami languages,🇳🇴
391,smj,Lule Sami,🇸🇪
392,smn,Inari Sami,🇫🇮
393,smo,Samoan,🇼🇸
394,sms,Skolt Sami,🇫🇮
395,sna,Shona,🇿🇼
396,snd,Sindhi,🇵🇰
397,snk,Soninke,🇸🇳
398,sog,Sogdian,🏳️
399,som,Somali,🇸🇴
400,son,Songhai languages,🏳️
401,sot,"Sotho, Southern",🇿🇦
402,spa,Spanish; Castilian,🇪🇸
403,srd,Sardinian,🇮🇹
404,srn,Sranan Tongo,🇸🇷
405,srp,Serbian,🇷🇸
406,srr,Serer,🇸🇳
407,ssa,Nilo-Saharan languages,🏳️
408,ssw,Swati,🇸🇿
409,suk,Sukuma,🇹🇿
410,sun,Sundanese,🇮🇩
411,sus,Susu,🇬🇳
412,sux,Sumerian,🏳️
413,swa,Swahili,🇹🇿
414,swe,Swedish,🇸🇪
415,syc,Classical Syriac,🏳️
416,syr,Syriac,🏳️
417,tah,Tahitian,🇵🇫
418,tai,Tai languages,🏳️
419,tam,Tamil,🇮🇳
420,tat,Tatar,🇷🇺
421,tel,Telugu,🇮🇳
422,tem,Timne,🇸🇱
423,ter,Tereno,🏳️
424,tet,Tetum,🇹🇱
425,tgk,Tajik,🇹🇯
426,tgl,Tagalog,🇵🇭
427,tha,Thai,🇹🇭
428,tib,Tibetan,🇨🇳
429,tig,Tigre,🇪🇷
430,tir,Tigrinya,🇪🇷
431,tiv,Tiv,🇳🇬
432,tkl,Tokelau,🇹🇰
433,tlh,Klingon; tlhIngan-Hol,🏳️
434,tli,Tlingit,🇨🇦
435,tmh,Tamashek,🇲🇱
436,tog,Tonga (Nyasa),🇲🇼
437,ton,Tonga (Tonga Islands),🇹🇴
438,tpi,Tok Pisin,🇵🇬
439,tsi,Tsimshian,🇨🇦
440,tsn,Tswana,🇧🇼
441,tso,Tsonga,🇿🇦
442,tuk,Turkmen,🇹🇲
443,tum,Tumbuka,🇲🇼
444,tup,Tupi languages,🌎
445,tur,Turkish,🇹🇷
446,tut,Altaic languages,🌎
447,tvl,Tuvalu,🇹🇻
448,twi,Twi,🇬🇭
449,tyv,Tuvinian,🇷🇺
450,udm,Udmurt,🇷🇺
451,uga,Ugaritic,🌎
452,uig,Uighur; Uyghur,🌎
453,ukr,Ukrainian,🇺🇦
454,umb,Umbundu,🇦🇴
455,und,Undetermined,❓
456,urd,Urdu,🇵🇰
457,uzb,Uzbek,🇺🇿
458,vai,Vai,🇱🇷
459,ven,Venda,🇿🇦
460,vie,Vietnamese,🇻🇳
461,vol,Volapük,🌎
462,vot,Votic,🇷🇺
463,wak,Wakashan languages,🌎
464,wal,Wolaitta; Wolaytta,🇪🇹
465,war,Waray,🇵🇭
466,was,Washo,🇺🇸
467,wel,Welsh,🏴󠁧󠁢󠁷󠁬󠁳󠁿
468,wen,Sorbian languages,🇩🇪
469,wln,Walloon,🇧🇪
470,wol,Wolof,🇸🇳
471,xal,Kalmyk; Oirat,🇷🇺
472,xho,Xhosa,🇿🇦
473,yao,Yao,🌎
474,yap,Yapese,🇫🇲
475,yid,Yiddish,🇮🇱
476,yor,Yoruba,🇳🇬
477,ypk,Yupik languages,🌎
478,zap,Zapotec,🇲🇽
479,zbl,Blissymbols; Blissymbolics; Bliss,🌎
480,zen,Zenaga,🌎
481,zgh,Standard Moroccan Tamazight,🇲🇦
482,zha,Zhuang; Chuang,🇨🇳
483,znd,Zande languages,🌎
484,zul,Zulu,🇿🇦
485,zun,Zuni,🇺🇸
486,zxx,No linguistic content; Not applicable,🌎
487,zza,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,🇹🇷
